time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-13T23:31:35.813Z,-10.328,161.4052,100.98,4.6,mb,,95,1.686,0.72,us,us70007prr,2020-02-14T05:29:57.040Z,"58km WNW of Kirakira, Solomon Islands",earthquake,12.6,8.6,0.051,116,reviewed,us,us
2020-02-13T21:38:41.148Z,22.452,121.326,10,4.6,mwr,,63,0.429,0.94,us,us70007ppd,2020-02-15T11:23:18.417Z,"38km SSE of Taitung City, Taiwan",earthquake,4.1,1.9,0.06,27,reviewed,us,us
2020-02-13T19:23:33.705Z,54.0972,109.1851,10,4.5,mb,,153,4.137,0.42,us,us70007pld,2020-02-14T00:32:49.040Z,"60km NNW of Barguzin, Russia",earthquake,6.6,1.9,0.09,36,reviewed,us,us
2020-02-13T18:17:30.908Z,-6.6297,130.5677,78.84,5.2,mb,,43,1.527,0.77,us,us70007pkg,2020-02-13T18:53:58.040Z,"167km NNW of Saumlaki, Indonesia",earthquake,8,6,0.061,88,reviewed,us,us
2020-02-13T17:49:18.980Z,24.2241,122.1366,28.12,4.7,mb,,76,0.497,0.98,us,us70007pk5,2020-02-15T11:20:05.404Z,"50km SE of Su'ao, Taiwan",earthquake,4.7,5.1,0.075,54,reviewed,us,us
2020-02-13T17:17:04.506Z,-7.3924,128.5454,159.67,4.5,mb,,78,2.791,0.61,us,us70007pja,2020-02-13T17:43:44.040Z,"Kepulauan Barat Daya, Indonesia",earthquake,10,10.4,0.113,23,reviewed,us,us
2020-02-13T17:08:37.508Z,-29.4389,-71.7056,43.03,4.7,mb,,96,0.627,0.64,us,us70007piw,2020-02-13T17:29:20.326Z,"66km NNW of Coquimbo, Chile",earthquake,5.8,13.1,0.058,91,reviewed,us,us
2020-02-13T15:57:16.546Z,-41.7069,174.3069,21.21,4.5,mb,,143,0.081,0.79,us,us70007ph5,2020-02-14T03:44:13.375Z,"36km SE of Blenheim, New Zealand",earthquake,2.7,4.9,0.241,8,reviewed,us,us
2020-02-13T15:26:27.840Z,51.3502,-174.9986,38.89,5,mb,,130,0.859,0.85,us,us70007pgu,2020-02-18T15:36:41.920Z,"109km SSW of Atka, Alaska",earthquake,5.7,6.7,0.029,383,reviewed,us,us
2020-02-13T15:17:25.408Z,-11.5412,113.221,10,4.8,mb,,152,3.186,0.47,us,us70007pgl,2020-02-13T16:07:33.040Z,"South of Java, Indonesia",earthquake,8.5,1.9,0.087,44,reviewed,us,us
2020-02-13T14:07:39.781Z,51.5569,177.275,50.83,4.9,mb,,169,1.279,1.09,us,us70007pex,2020-02-13T14:33:05.836Z,"64km SSW of Kiska Volcano, Alaska",earthquake,5.2,10,0.044,159,reviewed,us,us
